ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi
,external,ELR0500001,,Lavello 50x35xh18 in granito senza foro per il rubinetto,1,0,visible,"Lavello di granito grigio o rosa, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,55,50,35,18,0,,,195,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2022/08/50_3.jpg, https://mondopietra.it/wp-content/uploads/2022/08/50_4.jpg, https://mondopietra.it/wp-content/uploads/2022/08/50_5.jpg, https://mondopietra.it/wp-content/uploads/2022/08/50_7.jpg, https://mondopietra.it/wp-content/uploads/2022/08/Lavello-lavandino-in-vera-pietra-50cm-80.jpeg",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-50-cm-lodi-607210079.htm,,0,
,external,ELR0500002,,Lavello 50x35xh18 in granito con foro per il rubinetto,1,0,visible,"Lavello di granito grigio o rosa, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Foro per il rubinetto: diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,65,50,35,18,0,,,215,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2022/08/50_1.jpg, https://mondopietra.it/wp-content/uploads/2022/08/50_2.jpg, https://mondopietra.it/wp-content/uploads/2022/08/50_7.jpg",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-50-cm-lodi-607210079.htm,,0,
,external,ELR0600001,,Lavello 60x40xh20 in granito con foro per il rubinetto,1,0,visible,"Lavello di granito grigio o rosa, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Foro per il rubinetto: diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,85,60,40,20,0,,,270,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2022/03/60_con_foro_grigio.png, https://mondopietra.it/wp-content/uploads/2023/07/60.jpeg, https://mondopietra.it/wp-content/uploads/2022/03/60_9.jpg",,,,,,,https://www.subito.it/giardino-fai-da-te/lavello-lavandino-in-pietra-granito-60-cm-lodi-607194507.htm,,0,
,external,ELR0600002,,Lavello 60x40xh20 in granito grigio trattato ,1,0,visible,"Lavello di granito grigio, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca con trattamento idrorepellente.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Con o senza foro per il rubinetto, diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,270,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606230125.jpg, https://mondopietra.it/wp-content/uploads/2026/06/83a2a3a7-c43b-4b4c-90e7-7ebdbc33c728.png, https://mondopietra.it/wp-content/uploads/2026/07/lavello_60_trattato.png, https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606231548.jpg, https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606230903.jpg, https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606230123.jpg, https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606230907.jpg, https://mondopietra.it/wp-content/uploads/2025/08/Image_20250606230900.jpg, https://mondopietra.it/wp-content/uploads/2026/07/lavelli_60_trattati.png",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-in-pietra-granito-60-cm-1-lodi-605968435.htm,,0,
,external,ELR0600003,,Lavello 60x40xh20 in granito beige trattato,1,0,visible,"Lavello di granito beige, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca con trattamento idrorepellente.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Con o senza foro per il rubinetto, diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,373,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-60-9-1.jpg, https://mondopietra.it/wp-content/uploads/2026/07/lavello_60_trattato_beige.png, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-60-9-4.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-60-9-6.jpg, https://mondopietra.it/wp-content/uploads/2026/07/lavelli_60_trattati.png",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-in-pietra-granito-60-cm-1-lodi-605968435.htm,,0,
,external,ELR0600004,,Lavello 60x40xh20 in granito rosa trattato,1,0,visible,"Lavello di granito rosa, scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca con trattamento idrorepellente.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Con o senza foro per il rubinetto, diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,325,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,https://mondopietra.it/wp-content/uploads/2026/07/lavelli_60_trattati.png,,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-in-pietra-granito-60-cm-1-lodi-605968435.htm,,0,
,external,ELR0600005,,Lavello 60x40xh20 in diorite trattato,1,0,visible,"Lavello di diorite (granito grigio scuro), scavato da un massello di pietra naturale.<br>
Finitura interna: levigata opaca con trattamento idrorepellente.<br>
Finitura esterna: a spacco su tre lati, a taglio sul fondo e sul lato posteriore.<br>
<br>
Foro di scarico per piletta standard da 1-1/4"".<br>
Con o senza foro per il rubinetto, diametro 3.5 cm. <br>
Disponibile rubinetteria in ottone made in Italy.<br>
Disponibili sostegni in granito o ferro battuto e paraschizzi in granito.","Lavello da esterno in pietra naturale perfetto per cucine rustiche o giardini. Resistente a gelo e intemperie essendo di pietra autentica e non di cemento, graniglia o polvere di marmo.",,,taxable,,1,,1,0,0,60,60,40,20,0,,,389,"Arredamento da Esterno > Lavelli rustici, Arredamento da Esterno",,,"https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-1.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-15.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-5.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-9.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-6.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-7.jpg, https://mondopietra.it/wp-content/uploads/2025/08/lavello-lavandino-cucina-50-1-8.jpg",,,,,,,https://www.subito.it/arredamento-casalinghi/lavello-lavandino-per-in-pietra-granito-60-cm-1-lodi-605968435.htm,,0,
